,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0648539543151856,0.28764452195496104,0.0009996891021728516,0.0012244452732793562,0.0001,"(50,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
1,1.0465384006500245,0.31576836734907654,0.0028246402740478515,0.0018047994701995765,0.0001,"(50,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
2,1.0815992832183838,0.2572799288652977,0.0035967350006103514,0.003718493937436849,0.0001,"(50,)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5466893039049237,0.5738539898132428,0.5840407470288624,0.5398981324278438,0.5144312393887945,0.5517826825127334,0.02485976939588879,40
3,2.687595510482788,0.7936874474370206,0.002337026596069336,0.0022054120158070244,0.0001,"(100, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
4,2.7124939441680906,0.78887008773779,0.003347492218017578,0.0023202321505614455,0.0001,"(100, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
5,2.828803825378418,0.8712352341980147,0.0027187824249267577,0.0030739254667763076,0.0001,"(100, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5483870967741935,0.5721561969439728,0.6112054329371817,0.5704584040747029,0.5093378607809848,0.5623089983022072,0.033328672964867585,1
6,9.97715973854065,2.8659860327164366,0.007460689544677735,0.003554817856595986,0.0001,"(100, 100, 100)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
7,10.044420671463012,2.8934675320591947,0.006496143341064453,0.004180998787607797,0.0001,"(100, 100, 100)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
8,9.938692045211791,2.8544202654374806,0.003875875473022461,0.0020548178768153656,0.0001,"(100, 100, 100)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5195246179966044,0.5297113752122241,0.5382003395585738,0.533106960950764,0.5195246179966044,0.5280135823429541,0.007439355619764555,94
9,2.9711822032928468,0.9955531895240015,0.0037613868713378905,0.0029382793038847236,0.0001,"(50, 50, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
10,2.82039737701416,0.9690180723969786,0.002021455764770508,0.0017833321332527282,0.0001,"(50, 50, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1000}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
11,2.7943225383758543,1.0046033739420934,0.0004222393035888672,0.0006061079725124341,0.0001,"(50, 50, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1500}",0.5415959252971138,0.5314091680814941,0.533106960950764,0.5619694397283531,0.49575551782682514,0.53276740237691,0.021459457126417593,82
12,5.657594490051269,1.2140404504003197,0.004671430587768555,0.001547551071159526,0.0001,"(50, 100, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
13,5.7489705085754395,1.1872074012012437,0.004567527770996093,0.0027813103778726853,0.0001,"(50, 100, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
14,5.719711446762085,1.0954957921182003,0.0033635616302490233,0.002863186981034278,0.0001,"(50, 100, 50)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",0.5500848896434635,0.5551782682512734,0.568760611205433,0.5382003395585738,0.5212224108658744,0.5466893039049237,0.01607084491164582,55
15,1.3457587718963624,0.2774991712323498,0.0034768104553222655,0.0032658315480127128,0.0001,"(100,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
16,1.2824888706207276,0.2567649920160369,0.0021588802337646484,0.0019372714342652218,0.0001,"(100,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
17,1.2503000736236571,0.24776815143945422,0.006340932846069336,0.0032141662417173394,0.0001,"(100,)",1500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 1500}",0.5534804753820034,0.5823429541595926,0.5534804753820034,0.5517826825127334,0.5382003395585738,0.5558573853989813,0.014430240652547244,16
18,1.2153754234313965,0.19084330113982337,0.0031335830688476564,0.003244296828596104,0.001,"(50,)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
19,1.1861083984375,0.1827870107204847,0.004269218444824219,0.0015832819215811232,0.001,"(50,)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
20,1.2148511409759521,0.1739142174215109,0.0024900913238525392,0.0015320978644201805,0.001,"(50,)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5619694397283531,0.5789473684210527,0.5721561969439728,0.5382003395585738,0.5127334465195246,0.5528013582342954,0.02433476790107834,34
21,2.864850664138794,0.74792987709243,0.005068159103393555,0.0017150684699536287,0.001,"(100, 50)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5517826825127334,0.5466893039049237,0.5619694397283531,0.5483870967741935,0.5110356536502547,0.5439728353140916,0.01730083423138469,58
22,2.921310234069824,0.7119260539805398,0.004883003234863281,0.004443569001555835,0.001,"(100, 50)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5517826825127334,0.5466893039049237,0.5619694397283531,0.5483870967741935,0.5110356536502547,0.5439728353140916,0.01730083423138469,58
23,2.9734354972839356,0.7667608185212864,0.004069280624389648,0.003000650572118534,0.001,"(100, 50)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5517826825127334,0.5466893039049237,0.5619694397283531,0.5483870967741935,0.5110356536502547,0.5439728353140916,0.01730083423138469,58
24,9.98170108795166,3.2682678392157007,0.0049915313720703125,0.0033917201850032926,0.001,"(100, 100, 100)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5093378607809848,0.5415959252971138,0.5246179966044142,0.5263157894736842,0.5161290322580645,0.5235993208828523,0.0108764803925616,103
25,10.350218725204467,3.5632689443903844,0.0038744449615478516,0.002821333480676939,0.001,"(100, 100, 100)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5093378607809848,0.5415959252971138,0.5246179966044142,0.5263157894736842,0.5161290322580645,0.5235993208828523,0.0108764803925616,103
26,13.038975524902344,3.54982180627729,0.0032628059387207033,0.0016563205756651793,0.001,"(100, 100, 100)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5093378607809848,0.5415959252971138,0.5246179966044142,0.5263157894736842,0.5161290322580645,0.5235993208828523,0.0108764803925616,103
27,4.545159387588501,1.281347681396783,0.003987741470336914,0.000652979547408309,0.001,"(50, 50, 50)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5619694397283531,0.5483870967741935,0.5212224108658744,0.5534804753820034,0.5263157894736842,0.5422750424448217,0.015803159630859202,67
28,3.9018375873565674,1.5150138667801825,0.0025325775146484374,0.0021222350966019214,0.001,"(50, 50, 50)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1000}",0.5619694397283531,0.5483870967741935,0.5212224108658744,0.5534804753820034,0.5263157894736842,0.5422750424448217,0.015803159630859202,67
29,3.523862361907959,1.3550190974843568,0.005248403549194336,0.002429229212767746,0.001,"(50, 50, 50)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1500}",0.5619694397283531,0.5483870967741935,0.5212224108658744,0.5534804753820034,0.5263157894736842,0.5422750424448217,0.015803159630859202,67
30,7.059752464294434,2.114834682355119,0.0028944492340087892,0.0020796415120133923,0.001,"(50, 100, 50)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",0.5449915110356537,0.5127334465195246,0.5789473684210527,0.5551782682512734,0.5076400679117148,0.5398981324278438,0.026693710026531148,73
31,7.17665376663208,2.197043986203537,0.007223796844482422,0.008042661723187882,0.001,"(50, 100, 50)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",0.5449915110356537,0.5127334465195246,0.5789473684210527,0.5551782682512734,0.5076400679117148,0.5398981324278438,0.026693710026531148,73
32,7.172612428665161,1.9579222700829275,0.0019563674926757813,0.0025324295186079965,0.001,"(50, 100, 50)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",0.5449915110356537,0.5127334465195246,0.5789473684210527,0.5551782682512734,0.5076400679117148,0.5398981324278438,0.026693710026531148,73
33,1.6863577842712403,0.3614873494651094,0.00011010169982910157,0.00022020339965820316,0.001,"(100,)",500,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5636672325976231,0.5772495755517827,0.5534804753820034,0.5415959252971138,0.5432937181663837,0.5558573853989813,0.013307923899670913,16
34,1.6278793811798096,0.32974088614686553,0.0024336814880371095,0.002678128897100286,0.001,"(100,)",1000,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.5636672325976231,0.5772495755517827,0.5534804753820034,0.5415959252971138,0.5432937181663837,0.5558573853989813,0.013307923899670913,16
35,1.584895420074463,0.3197147894893037,0.007213783264160156,0.005402374439716942,0.001,"(100,)",1500,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 1500}",0.5636672325976231,0.5772495755517827,0.5534804753820034,0.5415959252971138,0.5432937181663837,0.5558573853989813,0.013307923899670913,16
36,1.5076102256774901,0.18827932546465584,0.0023583889007568358,0.0020572880235908493,0.01,"(50,)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5721561969439728,0.5738539898132428,0.5738539898132428,0.5415959252971138,0.5144312393887945,0.5551782682512733,0.023793341991653442,25
37,1.4717129230499268,0.18721631059961646,0.004086828231811524,0.0037040284055638337,0.01,"(50,)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5721561969439728,0.5738539898132428,0.5738539898132428,0.5415959252971138,0.5144312393887945,0.5551782682512733,0.023793341991653442,25
38,1.5020638465881349,0.17303475939021437,0.0026546478271484374,0.002179773465674025,0.01,"(50,)",1500,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5721561969439728,0.5738539898132428,0.5738539898132428,0.5415959252971138,0.5144312393887945,0.5551782682512733,0.023793341991653442,25
39,4.211890697479248,1.7356629683199072,0.007566118240356445,0.005048373228511599,0.01,"(100, 50)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5534804753820034,0.565365025466893,0.5806451612903226,0.5365025466893039,0.5263157894736842,0.5524617996604414,0.01949432950004393,37
40,4.253068208694458,1.4955256356542965,0.00670170783996582,0.0016938297364822454,0.01,"(100, 50)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5534804753820034,0.565365025466893,0.5806451612903226,0.5365025466893039,0.5263157894736842,0.5524617996604414,0.01949432950004393,37
41,3.7854308605194094,1.3931122924471695,0.0033243179321289064,0.0017403711233134975,0.01,"(100, 50)",1500,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5534804753820034,0.565365025466893,0.5806451612903226,0.5365025466893039,0.5263157894736842,0.5524617996604414,0.01949432950004393,37
42,11.920399236679078,1.5923919538034037,0.007059669494628907,0.0036938621008440705,0.01,"(100, 100, 100)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5212224108658744,0.5432937181663837,0.5365025466893039,0.5365025466893039,0.5229202037351444,0.532088285229202,0.0085633414009633,85
43,11.057859468460084,1.7790160768931704,0.005329036712646484,0.0014989526551311759,0.01,"(100, 100, 100)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5212224108658744,0.5432937181663837,0.5365025466893039,0.5365025466893039,0.5229202037351444,0.532088285229202,0.0085633414009633,85
44,10.062490606307984,1.628578362670724,0.004668903350830078,0.0005184179285676472,0.01,"(100, 100, 100)",1500,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5212224108658744,0.5432937181663837,0.5365025466893039,0.5365025466893039,0.5229202037351444,0.532088285229202,0.0085633414009633,85
45,4.661943483352661,1.0582843516990323,0.004433107376098633,0.00048810401974592435,0.01,"(50, 50, 50)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5263157894736842,0.5449915110356537,0.5636672325976231,0.5551782682512734,0.5212224108658744,0.5422750424448217,0.016305884147426782,67
46,5.077379846572876,1.4996405298600732,0.004796028137207031,0.0012550029978728938,0.01,"(50, 50, 50)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1000}",0.5263157894736842,0.5449915110356537,0.5636672325976231,0.5551782682512734,0.5212224108658744,0.5422750424448217,0.016305884147426782,67
47,5.7985007762908936,1.8688609004296024,0.004453182220458984,0.0010374788674734272,0.01,"(50, 50, 50)",1500,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1500}",0.5263157894736842,0.5449915110356537,0.5636672325976231,0.5551782682512734,0.5212224108658744,0.5422750424448217,0.016305884147426782,67
48,11.17228593826294,1.5557020862516378,0.004561042785644532,0.00102593930437853,0.01,"(50, 100, 50)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",0.533106960950764,0.5466893039049237,0.5551782682512734,0.5534804753820034,0.5025466893039049,0.5382003395585738,0.019446955603770955,76
49,9.287545204162598,1.0223531066877225,0.004316473007202148,0.0004234026832553805,0.01,"(50, 100, 50)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",0.533106960950764,0.5466893039049237,0.5551782682512734,0.5534804753820034,0.5025466893039049,0.5382003395585738,0.019446955603770955,76
50,7.840433549880982,0.889971030506507,0.0045416831970214845,0.0006551110106625557,0.01,"(50, 100, 50)",1500,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",0.533106960950764,0.5466893039049237,0.5551782682512734,0.5534804753820034,0.5025466893039049,0.5382003395585738,0.019446955603770955,76
51,1.5818111896514893,0.30732444627048927,0.004884099960327149,0.0031778819137613743,0.01,"(100,)",500,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5585738539898133,0.5619694397283531,0.5500848896434635,0.5466893039049237,0.5398981324278438,0.5514431239388794,0.007992259623728232,43
52,1.5726871967315674,0.30419989546069,0.0030070781707763673,1.7283357308413797e-05,0.01,"(100,)",1000,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.5585738539898133,0.5619694397283531,0.5500848896434635,0.5466893039049237,0.5398981324278438,0.5514431239388794,0.007992259623728232,43
